species,sex,age,site_id,locality,elevation,elev_cat,lat,lon,tHbcorr,hct_final,heart,number_obs
Tachuris rubrigastra,female,adult,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,15.9,0.44679815,0.064,15
Tachuris rubrigastra,male,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,15.9,0.492055926,0.086,15
Phleocryptes melanops,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,15.9,0.556137289,0.192,23
Phleocryptes melanops,male,juvenile,23,Ondores,4056,high,-11.05496667,-76.15656667,15.9,0.402923645,0.166,23
Zonotrichia capensis,male,adult,35,Tampumayu,2671,mid,-14.17391667,-73.32313889,16,0.497196262,0.242,5
Tachuris rubrigastra,male,juvenile,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,16,0.512247397,0.084,15
Tachuris rubrigastra,male,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,16,0.466585167,0.094,15
Zonotrichia capensis,male,adult,35,Tampumayu,2671,mid,-14.17391667,-73.32313889,16.1,0.477117819,0.25,5
Zonotrichia capensis,male,adult,9,Chuquibamba,3200,high,-15.81433333,-72.66711667,16.1,0.498540727,0.306,7
Zonotrichia capensis,male,adult,9,Chuquibamba,3200,high,-15.81433333,-72.66711667,16.1,0.53488689,0.242,7
Phleocryptes melanops,male,adult,36,Viscachuni,3828,high,-15.80676667,-69.99171667,16.1,0.502024291,0.204,11
Zonotrichia capensis,male,adult,7,Chontali,2521,mid,-5.585183333,-79.15823333,16.1,0.560869565,0.19,12
Zonotrichia capensis,female,adult,20,Macate,2972,mid,-8.75478,-78.04845,16.1,0.552380952,0.306,12
Tachuris rubrigastra,male,juvenile,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,16.1,0.554527751,0.068,15
Troglodytes aedon,female,adult,27,Puente Nununya,3573,high,-14.4076,-73.08771667,16.2,0.537687613,0.126,3
Zonotrichia capensis,female,juvenile,5,Caraz,3714,high,-9.100971667,-77.865555,16.2,0.575672421,0.234,6
Zonotrichia capensis,male,adult,16,Irman,1761,mid,-9.858316667,-77.74636667,16.3,0.526315789,0.284,3
Zonotrichia capensis,male,adult,9,Chuquibamba,3200,high,-15.81433333,-72.66711667,16.3,0.485636969,0.234,7
Phleocryptes melanops,male,adult,29,Puerto Morin,-1,low,-8.426616667,-78.90375,16.3,0.47737966,0.132,18
Zonotrichia capensis,female,adult,6,Carhuaz,3439,high,-9.572116667,-77.84745,16.4,0.515056462,0.312,2
Zonotrichia capensis,female,adult,27,Puente Nununya,3573,high,-14.4076,-73.08771667,16.4,0.500431034,0.202,3
Troglodytes aedon,male,adult,30,Quebrada,1500,mid,-12.6519,-72.3236,16.4,0.457541448,0.232,4
Zonotrichia capensis,male,adult,19,Locumba,740,low,-17.56136167,-70.67236167,16.4,0.472768533,0.234,8
Zonotrichia capensis,male,adult,2,Bosque Cachil,2550,mid,-7.403833333,-78.77978333,16.4,0.501054852,0.238,14
Tachuris rubrigastra,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,16.4,0.538559322,0.124,23
Zonotrichia capensis,female,adult,33,Rio Santa,357,low,-8.69485,-78.37861,16.5,0.584027365,0.28,4
Troglodytes aedon,male,adult,5,Caraz,3714,high,-9.100971667,-77.865555,16.5,0.532180717,0.132,6
Phleocryptes melanops,male,adult,36,Viscachuni,3828,high,-15.80676667,-69.99171667,16.5,0.545681063,0.196,11
Phleocryptes melanops,male,juvenile,36,Viscachuni,3828,high,-15.80676667,-69.99171667,16.5,0.501942825,0.164,11
Tachuris rubrigastra,female,juvenile,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,16.5,0.533925174,0.072,15
Phleocryptes melanops,male,juvenile,17,Laguna Napique,4,low,-5.517133333,-80.70375,16.5,0.466982622,0.172,18
Troglodytes aedon,female,adult,35,Tampumayu,2672,mid,-14.17391667,-73.32313889,16.6,0.49382716,0.118,5
Zonotrichia capensis,male,juvenile,5,Caraz,3714,high,-9.100971667,-77.865555,16.6,0.593941537,0.246,6
Tachuris rubrigastra,female,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,16.6,0.538304392,0.108,15
Tachuris rubrigastra,male,adult,17,Laguna Napique,6,low,-5.5171,-80.70386667,16.6,0.464402351,0.098,18
Tachuris rubrigastra,female,juvenile,17,Laguna Napique,4,low,-5.5171,-80.70386667,16.6,0.479277801,0.084,18
Phleocryptes melanops,male,juvenile,36,Viscachuni,3828,high,-15.80676667,-69.99171667,16.7,0.485386221,0.224,11
Troglodytes aedon,female,adult,20,Macate,2972,mid,-8.75478,-78.04845,16.7,0.538276465,0.14,12
Zonotrichia capensis,male,adult,2,Bosque Cachil,2550,mid,-7.403833333,-78.77978333,16.7,0.488557559,0.29,14
Tachuris rubrigastra,male,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,16.7,0.530200258,0.096,15
Phleocryptes melanops,female,adult,17,Laguna Napique,3,low,-5.51765,-80.70386667,16.7,0.439874283,0.138,18
Phleocryptes melanops,female,juvenile,17,Laguna Napique,6,low,-5.5171,-80.70386667,16.7,0.508884151,0.134,18
Tachuris rubrigastra,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,16.7,0.435882801,0.146,23
Phleocryptes melanops,female,adult,23,Ondores,4060,high,-11.05541667,-76.15652778,16.7,0.561827314,0.204,23
Troglodytes aedon,male,adult,19,Locumba,740,low,-17.56136167,-70.67236167,16.8,0.517518549,0.164,8
Zonotrichia capensis,unknown,juvenile,7,Chontali,2530,mid,-5.582083333,-79.16013333,16.8,0.515858632,0.182,12
Zonotrichia capensis,female,adult,20,Macate,3931,high,-8.75236,-78.03402,16.8,0.525706264,0.303,12
Tachuris rubrigastra,male,adult,29,Puerto Morin,-1,low,-8.426616667,-78.90375,16.8,0.543895055,0.102,18
Phleocryptes melanops,male,adult,29,Puerto Morin,-1,low,-8.426616667,-78.90375,16.8,0.51459854,0.15,18
Zonotrichia capensis,female,adult,2,Bosque Cachil,2500,mid,-7.398033333,-78.77826667,16.81,0.51261418,0.272,14
Zonotrichia capensis,male,adult,26,Puente Caraybamba,3120,high,-14.61375,-73.28245,16.9,0.513601036,0.296,2
Troglodytes aedon,male,adult,10,Contunapampa,4233,high,-11.76461667,-76.51785,16.9,0.514512319,0.162,4
Tachuris rubrigastra,female,adult,29,Puerto Morin,0,low,-8.426666667,-78.90415,16.9,0.645071209,0.072,18
Zonotrichia capensis,female,adult,7,Chontali,2505,mid,-5.583216667,-79.15983333,17,0.511962891,0.19,12
Phleocryptes melanops,female,adult,29,Puerto Morin,-1,low,-8.426616667,-78.90375,17,0.508036739,0.168,18
Phleocryptes melanops,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,17,0.568974042,0.182,23
Troglodytes aedon,male,adult,22,Nuevo Mundo,1503,mid,-5.213066667,-78.6435,17.1,0.528669725,0.168,2
Troglodytes aedon,male,adult,34,San Pedro de Casta,4123,high,-11.76821667,-76.5305,17.1,0.546161049,0.16,3
Tachuris rubrigastra,female,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,17.1,0.565629742,0.13,15
Troglodytes aedon,male,adult,14,Huaylas,3350,high,-8.83621,-77.9258,17.2,0.553447798,0.14,1
Zonotrichia capensis,male,adult,2,Bosque Cachil,2500,mid,-7.398033333,-78.77826667,17.2,0.491680815,0.29,14
Tachuris rubrigastra,male,juvenile,17,Laguna Napique,4,low,-5.517133333,-80.70375,17.2,0.478518194,0.096,18
Troglodytes aedon,male,adult,35,Tampumayu,2671,mid,-14.17391667,-73.32313889,17.3,0.537424547,0.162,5
Troglodytes aedon,male,juvenile,2,Bosque Cachil,2550,mid,-7.403833333,-78.77978333,17.3,0.552380952,0.122,14
Troglodytes aedon,male,adult,33,Rio Santa,357,low,-8.69485,-78.37861,17.4,0.551122853,0.128,4
Zonotrichia capensis,male,adult,9,Chuquibamba,3200,high,-15.81433333,-72.66711667,17.4,0.527520701,0.254,7
Phleocryptes melanops,male,juvenile,17,Laguna Napique,4,low,-5.517133333,-80.70386667,17.4,0.470301418,0.14,18
Troglodytes aedon,male,adult,27,Puente Nununya,3548,high,-14.40833333,-73.0876,17.5,0.518930523,0.124,3
Troglodytes aedon,male,adult,35,Tampumayu,2671,mid,-14.17391667,-73.32313889,17.5,0.483743061,0.122,5
Zonotrichia capensis,female,adult,1,Anco Cahua,2975,mid,-17.32088333,-70.24773333,17.5,0.522012579,0.192,6
Zonotrichia capensis,male,adult,7,Chontali,2530,mid,-5.582083333,-79.16013333,17.5,0.521661189,0.2,12
Phleocryptes melanops,female,adult,24,Patamo de Ite,3,low,-17.92471667,-70.93836667,17.5,0.557278639,0.136,15
Phleocryptes melanops,male,adult,29,Puerto Morin,0,low,-8.4258,-78.90205,17.5,0.546532201,0.204,18
Tachuris rubrigastra,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,17.5,0.554657429,0.104,23
Tachuris rubrigastra,male,adult,36,Viscachuni,3828,high,-15.80676667,-69.99171667,17.6,0.540408958,0.098,11
Tachuris rubrigastra,male,adult,36,Viscachuni,3828,high,-15.80676667,-69.99171667,17.6,0.521334135,0.092,11
Zonotrichia capensis,female,adult,20,Macate,3840,high,-8.75236,-78.03402,17.6,0.532258065,0.244,12
Tachuris rubrigastra,female,adult,36,Viscachuni,3828,high,-15.80676667,-69.99171667,17.7,0.549634592,0.104,11
Zonotrichia capensis,male,adult,20,Macate,3931,high,-8.75236,-78.03402,17.7,0.529583638,0.28,12
Tachuris rubrigastra,male,juvenile,17,Laguna Napique,4,low,-5.517133333,-80.70375,17.7,0.492696629,0.104,18
Phleocryptes melanops,male,juvenile,17,Laguna Napique,6,low,-5.5171,-80.70386667,17.7,0.440934066,0.198,18
Zonotrichia capensis,male,adult,38,NA,3580,high,-13.48649,-72.98179,17.8,0.540721957,0.256,2
Troglodytes aedon,male,adult,9,Chuquibamba,3200,high,-15.81433333,-72.66711667,17.8,0.55997552,0.146,7
Phleocryptes melanops,male,juvenile,17,Laguna Napique,3,low,-5.51765,-80.70386667,17.8,0.474317102,0.158,18
Tachuris rubrigastra,male,adult,29,Puerto Morin,0,low,-8.426666667,-78.90415,17.8,0.542564655,0.072,18
Tachuris rubrigastra,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,17.8,0.569335239,0.104,23
Phleocryptes melanops,male,adult,23,Ondores,4050,high,-11.05541667,-76.15652778,17.8,0.496994848,0.256,23
Phleocryptes melanops,male,adult,23,Ondores,4060,high,-11.05496667,-76.15656667,17.8,0.532040472,0.19,23
Zonotrichia capensis,male,adult,1,Anco Cahua,2975,mid,-17.32088333,-70.24773333,17.9,0.51147541,0.284,6
Zonotrichia capensis,male,adult,9,Chuquibamba,3200,high,-15.81433333,-72.66711667,17.9,0.540873928,0.284,7
Tachuris rubrigastra,female,juvenile,17,Laguna Napique,3,low,-5.51765,-80.70386667,17.9,0.510251046,0.089,18
Phleocryptes melanops,female,adult,29,Puerto Morin,0,low,-8.426666667,-78.90415,17.9,0.508312552,0.188,18
Zonotrichia capensis,male,adult,39,NA,39,low,-10.06811667,-78.13603333,18,0.533600279,0.236,1
Tachuris rubrigastra,female,adult,29,Puerto Morin,-1,low,-8.4258,-78.90205,18,0.491406747,0.078,18
Phleocryptes melanops,female,juvenile,17,Laguna Napique,6,low,-5.5171,-80.70386667,18.1,0.514911463,0.172,18
Zonotrichia capensis,female,adult,1,Anco Cahua,2975,mid,-17.32088333,-70.24773333,18.2,0.509090909,0.2,6
Zonotrichia capensis,female,adult,20,Macate,2972,mid,-8.75478,-78.04845,18.2,0.555523755,0.174,12
Phleocryptes melanops,female,adult,23,Ondores,4061,high,-11.0563,-76.15615,18.2,0.586332958,0.252,23
Zonotrichia capensis,male,adult,20,Macate,3997,high,-8.75236,-78.03402,18.3,0.563857235,0.254,12
Tachuris rubrigastra,female,adult,29,Puerto Morin,-1,low,-8.4258,-78.90205,18.3,0.548142891,0.098,18
Phleocryptes melanops,male,juvenile,11,Estero Mantagua,8,low,-32.88493333,-71.50816667,18.5,0.546226415,0.186,15
Tachuris rubrigastra,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,18.6,0.534948372,0.134,23
Tachuris rubrigastra,female,adult,23,Ondores,4050,high,-11.05541667,-76.15652778,18.7,0.639108911,0.106,23
Tachuris rubrigastra,male,adult,23,Ondores,4058,high,-11.05583333,-76.156,18.8,0.586661342,0.092,23
Zonotrichia capensis,female,adult,40,NA,1745,mid,-9.858366667,-77.74566667,18.9,0.516428571,0.228,1
Phleocryptes melanops,female,juvenile,29,Puerto Morin,0,low,-8.4258,-78.90205,19.2,0.592254134,0.202,18
Phleocryptes melanops,male,adult,23,Ondores,4060,high,-11.05496667,-76.15656667,19.3,0.560080107,0.28,23
Zonotrichia capensis,male,adult,38,NA,3680,high,-13.48365,-72.98068,19.4,0.592535787,0.252,2
Zonotrichia capensis,male,adult,34,San Pedro de Casta,4142,high,-11.7673,-76.52476667,19.4,0.536667367,0.256,3
Phleocryptes melanops,male,adult,29,Puerto Morin,-1,low,-8.426616667,-78.90375,19.4,0.610515464,0.2,18
Tachuris rubrigastra,female,adult,29,Puerto Morin,0,low,-8.4258,-78.90205,19.5,0.519745223,0.096,18
Tachuris rubrigastra,female,adult,23,Ondores,4050,high,-11.05541667,-76.15652778,19.5,0.596212331,0.12,23
Tachuris rubrigastra,male,adult,23,Ondores,4060,high,-11.05496667,-76.15656667,19.5,0.517653167,0.1,23
Troglodytes aedon,male,adult,10,Contunapampa,4188,high,-11.76685,-76.52241667,19.6,0.560250643,0.048,4
Tachuris rubrigastra,male,adult,17,Laguna Napique,3,low,-5.517133333,-80.70386667,20.1,0.535111411,0.084,18
Tachuris rubrigastra,female,adult,29,Puerto Morin,0,low,-8.4258,-78.90205,20.1,0.563466878,0.09,18
Zonotrichia capensis,male,adult,10,Contunapampa,4166,high,-11.7682,-76.52406667,20.3,0.518881119,0.298,4
Zonotrichia capensis,male,juvenile,10,Contunapampa,4237,high,-11.76863333,-76.52343333,20.4,0.593042672,0.26,4
Zonotrichia capensis,female,adult,34,San Pedro de Casta,4142,high,-11.7673,-76.52476667,21,0.572737069,0.294,3
Tachuris rubrigastra,female,adult,29,Puerto Morin,0,low,-8.4258,-78.90205,21,0.522160665,0.098,18
Tachuris rubrigastra,male,adult,23,Ondores,4050,high,-11.05541667,-76.15652778,21.4,0.567430357,0.13,23